      a	      b	    GCD	    LCM
   ----	   ----	   ----	   ----
     15	     18	      3	     90
     16	     21	      1	    336
    195	     91	     13	   1365
    121	    242	    121	    242
    765	    967	      1	 739755
      0	    597	    597	      0
    978	      0	    978	      0
    625	    125	    125	    625
    256	     16	     16	    256
     75	     75	     75	     75
    -75	     35	      5	    525
     75	    -35	      5	    525
      0	      0	      0	      0
      1	      0	      1	      0
      1	      1	      1	      1
      2	      1	      1	      2
      3	      2	      1	      6
      5	      3	      1	     15
      8	      5	      1	     40
     13	      8	      1	    104
     21	     13	      1	    273
     34	     21	      1	    714
     55	     34	      1	   1870
     89	     55	      1	   4895
    144	     89	      1	  12816
     28	     14	     14	     28
    377	    233	      1	  87841
    600	    375	     75	   3000
    987	    610	      1	 602070
   1597	    987	      1	1576239
    584	    597	      1	 348648
    180	      9	      9	    180
    765	    181	      1	 138465
    946	    765	      1	 723690
    711	    946	      1	 672606
    657	    711	      9	  51903
    625	    125	    125	    625
